Time	State	Spindle-BC-1	Spindle-BC-2	Spindle-BC-3	Spindle-BC-4	Spindle-BC-5	Spindle-BC-6	Spindle-BC-7	Spindle-BC-8	Spindle-BC-9	Spindle-BC-10	Spindle-BC-11	Spindle-BC-12	Spindle-BC-13	Spindle-BC-14	Spindle-BC-15	Spindle-BC-16	Spindle-BC-17	Spindle-BC-18	Spindle-BC-19	Tank-BC-1	Tank-BC-2	PumpHydraulics-BC-1	PumpHydraulics-BC-2	PumpHydraulics-BC-3	PumpHydraulics-BC-4	PumpCoolant-BC-1	PumpCoolant-BC-2	PumpCoolant-BC-3	PumpCoolant-BC-4	PumpHE-BC-1	PumpHE-BC-2	PumpHE-BC-3	PumpHE-BC-4	CtrlSpindle-BC-1	AmpAxes-BC-1	CtrlAxesLin-BC-1	CtrlAxesRot-BC-1	AxisX-BC-1	AxisX-BC-2	AxisX-BC-3	AxisX-BC-4	AxisX-BC-5	AxisX-BC-6	AxisY-BC-1	AxisY-BC-2	AxisY-BC-3	AxisY-BC-4	AxisY-BC-5	AxisY-BC-6	AxisZ-BC-1	AxisZ-BC-2	AxisZ-BC-3	AxisZ-BC-4	AxisZ-BC-5	AxisZ-BC-6	AxisA-BC-1	AxisA-BC-2	AxisA-BC-3	AxisA-BC-4	AxisA-BC-5	AxisB-BC-1	AxisB-BC-2	AxisB-BC-3	AxisB-BC-4	AxisB-BC-5	AxisC-BC-1	AxisC-BC-2	AxisC-BC-3	AxisC-BC-4	AxisC-BC-5	TankHydraulic-BC-1	TankHydraulic-BC-2
180.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999999999833	-3.4106051316484804E-10	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.016324940326289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.007168654835835696	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
190.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499999999985	-1.7053025658242402E-10	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.016324940326289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.01889783900828234	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
200.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999999999833	-2.8421709430404E-10	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0140944501072011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.01582102251252838	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
210.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999999999833	-5.684341886080801E-11	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0140944501072011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.021880233984872516	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
220.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999999999833	0.0	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0020706884308788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1499999999998	0.01683699062655619	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
230.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499999999982	-1.1368683772161602E-10	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0020706884308788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.15000000000015	0.018112508526127183	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
240.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999999999833	0.0	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0020706884308788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1499999999998	0.0164171410827503	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
250.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499999999981	-1.1368683772161602E-10	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.0157095137658618	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
260.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499999999978	-3.9790393202565605E-10	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.015637516263990046	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
270.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499999999981	-1.1368683772161602E-10	293.1499999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.01779766684485232	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
