Time	State	Spindle-BC-1	Spindle-BC-2	Spindle-BC-3	Spindle-BC-4	Spindle-BC-5	Spindle-BC-6	Spindle-BC-7	Spindle-BC-8	Spindle-BC-9	Spindle-BC-10	Spindle-BC-11	Spindle-BC-12	Spindle-BC-13	Spindle-BC-14	Spindle-BC-15	Spindle-BC-16	Spindle-BC-17	Spindle-BC-18	Spindle-BC-19	Tank-BC-1	Tank-BC-2	PumpHydraulics-BC-1	PumpHydraulics-BC-2	PumpHydraulics-BC-3	PumpHydraulics-BC-4	PumpCoolant-BC-1	PumpCoolant-BC-2	PumpCoolant-BC-3	PumpCoolant-BC-4	PumpHE-BC-1	PumpHE-BC-2	PumpHE-BC-3	PumpHE-BC-4	CtrlSpindle-BC-1	AmpAxes-BC-1	CtrlAxesLin-BC-1	CtrlAxesRot-BC-1	AxisX-BC-1	AxisX-BC-2	AxisX-BC-3	AxisX-BC-4	AxisX-BC-5	AxisX-BC-6	AxisY-BC-1	AxisY-BC-2	AxisY-BC-3	AxisY-BC-4	AxisY-BC-5	AxisY-BC-6	AxisZ-BC-1	AxisZ-BC-2	AxisZ-BC-3	AxisZ-BC-4	AxisZ-BC-5	AxisZ-BC-6	AxisA-BC-1	AxisA-BC-2	AxisA-BC-3	AxisA-BC-4	AxisA-BC-5	AxisB-BC-1	AxisB-BC-2	AxisB-BC-3	AxisB-BC-4	AxisB-BC-5	AxisC-BC-1	AxisC-BC-2	AxisC-BC-3	AxisC-BC-4	AxisC-BC-5	TankHydraulic-BC-1	TankHydraulic-BC-2
1530.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499914570276	-6.554957394655502E-4	293.1499999999999	0.0	63.24698530127438	77.80908328937106	75.04301598733926	559.7192753610739	154.00929882361524	66.82045247021793	842.9908596650779	540.2640934666572	79.2920165164837	67.22611759140578	146.90227429055474	267.43370218677774	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002607	0.008352472553889413	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1540.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999776216615	0.0021555805460593542	293.1499999999999	0.0	63.24698530117488	77.80908328937106	75.04301598751206	559.7156532509982	154.00926948368476	66.82045247021793	842.9908042456001	540.264105642457	79.29201101936161	67.22611759140578	146.90227610237108	267.4336997653432	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002476	0.002124696302606207	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1550.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14998913164794	-0.006884700212594907	293.1499999999999	0.0	63.24698530136392	77.80908328937106	75.04301598718378	559.7123714124644	154.00924396181898	66.82045247021793	842.9911635977589	540.2639597489703	79.29202510297019	67.22611759140578	146.9022714605034	267.433711976655	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.1500000000238	0.00771196473111169	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1560.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499916218842	-0.003559832009614183	293.1499999999999	0.0	63.24698530048332	77.80908328937106	75.04301598871294	559.709397883178	154.00924396181898	66.82045247021793	842.9911886691941	540.264008227866	79.29204937068009	67.22611759140578	146.90226346201882	267.433700350335	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002266	0.0044785152443743165	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1570.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499947291748	0.0010419898899272082	293.1499999999999	0.0	63.2469853012097	77.80908328937106	75.04301598745158	559.7067037024967	154.00924396181898	66.82045247021793	842.9909713079755	540.2642018038086	79.29202393475362	67.22611759140578	146.90227184554013	267.4336735576182	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002345	0.007813579761210235	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1580.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499863030128	-0.004566335633171547	293.1499999999999	0.0	63.246985300468396	77.80908328937106	75.04301598873889	559.7042626294051	154.00924396181898	66.82045247021793	842.9908138051596	540.2643068156585	79.29203375116182	67.22611759140578	146.90226861011408	267.4336847653126	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002385	0.006743791359316322	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1590.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499927661925	0.001273744828722556	293.1499999999999	0.0	63.24698530110523	77.80908328937106	75.04301598763301	559.7020508875106	154.0092993325979	66.82045247021793	842.9908606262375	540.2642816810387	79.29200955709167	67.22611759140578	146.90227658432588	267.43369329315794	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.1500000000252	0.009894567514257557	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1600.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499882518156	-0.0027789623118223967	293.1499999999999	0.0	63.24698530054797	77.80908328937106	75.04301598860067	559.700046933532	154.00924396181898	66.82045247021793	842.9913692147031	540.2641428379447	79.29201650956755	67.22611759140578	146.90227429283425	267.4337016880418	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002647	0.00740095895173083	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1610.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14998815804455	-0.00167342074064436	293.1499999999999	0.0	63.24698530010021	77.80908328937106	75.04301598937819	559.6982312476719	154.00928319794366	66.82045247021793	842.9908301501883	540.2641882152867	79.29203882586089	67.22611759140578	146.90226693752524	267.4337124720209	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002607	0.005742710516912955	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1620.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499935672995	0.0036817490922658176	293.1499999999999	0.0	63.24698530043354	77.80908328937106	75.04301598879937	559.6965861437609	154.00924396181898	66.82045247021793	842.9909073142708	540.2642447336975	79.29202979315575	67.22611759140578	146.90226991464795	267.43368453462654	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.1500000000267	0.004394933299391413	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1630.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14998740578034	-0.0013314522107066293	293.1499999999999	0.0	63.24698530048332	77.80908328937106	75.04301598871294	559.695095596596	154.00924396181898	66.82045247021793	842.9911685894197	540.2641571793974	79.29202107957543	67.22611759140578	146.90227278658875	267.4336843444969	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.1500000000263	0.006321786075904992	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1640.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14998662247007	-0.0031920405945129455	293.1499999999999	0.0	63.246985300692266	77.80908328937106	75.0430159883501	559.6937450863522	154.00926295557775	66.82045247021793	842.9907919149553	540.2642398746991	79.29202457355105	67.22611759140578	146.90227163499657	267.4336989506408	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002556	0.004664028407420785	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1650.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499886511118	-0.0020041406969539817	293.1499999999999	0.0	63.24698530031414	77.80908328937106	75.04301598900672	559.6925214571794	154.0092846350834	66.82045247021793	842.9908328645823	540.2642489099901	79.29202173140469	67.22611759140578	146.90227257174996	267.43369762670886	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002556	0.004527441122293175	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1660.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999183512026	0.0034165041711275985	293.1499999999999	0.0	63.2469852994733	77.80908328937106	75.04301599046684	559.6914127891263	154.00924396181898	66.82045247021793	842.9909290269072	540.264096093543	79.29203027007243	67.22611759140578	146.90226975745924	267.43369754571455	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.1500000000261	0.005689778692285081	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1670.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14998597887364	-0.0011201984762010395	293.1499999999999	0.0	63.24698530005542	77.80908328937106	75.04301598945597	559.6904082820939	154.00924396181898	66.82045247021793	842.9910321678351	540.2640364982609	79.2920244975199	67.22611759140578	146.902271660056	267.4336929505875	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002595	0.006311350479356956	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1680.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499926694241	0.003845163121241057	293.1499999999999	0.0	63.246985300811666	77.80908328937106	75.04301598814277	559.689498150204	154.00924396181898	66.82045247021793	842.9908208466732	540.2641091168251	79.29202069536616	67.22611759140578	146.90227291322168	267.4336924538321	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002567	0.00501910550225056	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1690.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499961828492	0.00670210874886834	293.1499999999999	0.0	63.2469853012097	77.80908328937106	75.04301598745158	559.688673526783	154.00924396181898	66.82045247021793	842.9911016373135	540.2641398135509	79.29200713368397	67.22611759140578	146.9022773830655	267.4337004445722	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002755	0.009042106373379235	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1700.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999245327436	0.002853333796792867	293.1499999999999	0.0	63.24698530090123	77.80908328937106	75.04301598798727	559.6879263784235	154.00924396181898	66.82045247021793	842.990897571133	540.2641839634047	79.292019813074	67.22611759140578	146.90227320401956	267.43371151646545	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002857	0.006617655839588956	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1710.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999599870305	0.0030058485549488974	293.1499999999999	0.0	63.246985301408714	77.80908328937106	75.04301598710599	559.6872494265155	154.00924396181898	66.82045247021793	842.9909310353346	540.2642423969484	79.29202238404879	67.22611759140578	146.90227235664264	267.4337079825417	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002834	0.006021382927134469	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1720.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999814509787	0.003053865384572418	293.1499999999999	0.0	63.24698530097585	77.80908328937106	75.04301598785766	559.6866360760685	154.00924396181898	66.82045247021793	842.9911208309763	540.2642408366955	79.29202468569012	67.22611759140578	146.90227159803624	267.43369688948314	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002914	0.004879129187835667	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1730.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999610258815	8.836159395286812E-4	293.1499999999999	0.0	63.24698530076191	77.80908328937106	75.04301598822914	559.6860803517042	154.00924396181898	66.82045247021793	842.9908226178861	540.2643028849822	79.29201453056905	67.22611759140578	146.90227494509955	267.4336971704506	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.1500000000293	0.002347387826333724	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1740.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.15000334468454	0.006794602541049243	293.1499999999999	0.0	63.246985300050454	77.80908328937106	75.0430159894646	559.6855768394953	154.00929273011658	66.82045247021793	842.9908481550261	540.2643233791583	79.2920236656447	67.22611759140578	146.90227193423675	267.43370349028356	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002993	0.006649801835406827	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1750.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999459621407	-0.0028145039436822113	293.1499999999999	0.0	63.246985300657435	77.80908328937106	75.04301598841059	559.685120634082	154.009250448319	66.82045247021793	842.9907682903191	540.2641866653086	79.29202275946724	67.22611759140578	146.9022722329071	267.4337019093574	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002686	0.011984916267899121	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1760.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.149999125844	-1.8989919681189346E-4	293.1499999999999	0.0	63.24698530098082	77.80908328937106	75.04301598784903	559.6847072907741	154.00930209067047	66.82045247021793	842.9908658358709	540.2640464349993	79.29203636929388	67.22611759140578	146.90226774719423	267.433695798129	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.1500000000236	0.006007487628847324	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1770.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999943541255	-3.0201039180610673E-4	293.1499999999999	0.0	63.246985300552964	77.80908328937106	75.04301598859202	559.684332782434	154.0092769367183	66.82045247021793	842.9908183233917	540.2639233101415	79.29202280745632	67.22611759140578	146.90227221709023	267.4336878062062	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.15000000002397	0.0019471971511702039	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1780.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999762916426	-2.571794652794778E-4	293.1499999999999	0.0	63.246985300468396	77.80908328937106	75.04301598873889	559.6839934605632	154.00924396181898	66.82045247021793	842.990824594797	540.2637981231977	79.29200736652311	67.22611759140578	146.9022773063232	267.4336908371381	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.150000000024	0.0023140141928912686	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1790.00	READY	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499989728982	7.610371994815067E-4	293.1499999999999	0.0	63.24698530063256	77.80908328937106	75.04301598845379	559.6836860193852	154.00929567287923	66.82045247021793	842.9908537135144	540.2637718907929	79.29203061062287	67.22611759140578	146.9022696452159	267.43371329027036	0.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.150000000024	0.0011145281937708124	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1800.00	PROCESS	2.9307275553479775	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999865798075	1.1057397841796045E-4	293.1499999999999	0.0	63.24698530158283	77.80908328937106	75.04301598680362	559.6834074635199	154.00924396181898	66.82045247021793	842.9908717991377	540.2637347881744	79.29201497435876	67.22611759140578	146.9022747988293	267.4336983757586	20.0	226.58227848101265	100.0	100.0	8.929823934412933E-30	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	9.599380741105006E-33	0.0	0.0	0.0	293.150000000024	0.0013965362150643538	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1810.00	PROCESS	2.9307275553479775	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.6615771743163	510.56106776013615	293.1499999999999	0.0	63.24698530107038	77.80908328937106	75.0430159876935	559.6831550789343	168.24157993411103	66.82045247021793	857.5523245262539	540.2637180369268	79.29202228128021	67.22611759140578	146.9022723905145	267.43369779076676	20.289852175803645	226.58227848101265	100.0	100.0	0.16804081425527248	0.0	0.0	0.0	NaN	NaN	0.1680432426906023	0.0	0.0	0.0	NaN	NaN	0.16804384980217613	0.0	0.0	0.0	293.1539604602078	12.198250589161251	0.4060685679380484	0.0	0.0	NaN	NaN	0.40620238069969805	0.0	0.0	NaN	NaN	0.4062788532446907	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1820.00	PROCESS	2.9307275553479775	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.62606801788525	473.3698168753903	293.1499999999999	0.0	63.246985300946	77.80908328937106	75.04301598790951	559.682926406848	168.2416028829298	66.82045247021793	857.552471812766	514.3947336787655	79.29201881396786	67.22611759140578	146.90227353331858	267.4337048420906	20.289852175803645	226.58227848101265	100.1340326353832	100.32407260321371	0.19226943687991	0.0	0.0	0.0	NaN	NaN	0.1682867101230778	0.0	0.0	0.0	NaN	NaN	0.1685596082424598	0.0	0.0	0.0	293.1613106534243	12.19825217515843	3.3599349431111927	0.0	0.0	NaN	NaN	1.1402413874569057	0.0	0.0	NaN	NaN	0.4062918102306994	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1830.00	PROCESS	98.14402351998245	8.689298800776334E-4	0.9157599520277964	0.9157599520277964	1.5588273293539523	0.9118937553848296	0.9118937553848296	1.5588273293539523	0.8041401222332991	0.8041401222332991	1.919537407097031	0.8041401222332991	0.8041401222332991	1.919537407097031	0.0	0.0	999.9999999999999	293.63426481714765	303.19058147051686	293.1499999999999	0.0	63.246985300090245	77.80908328937106	75.04301598939551	559.682719219594	168.24159824572226	66.82045247021793	857.5524420509606	466.8555731717277	79.2920222655636	67.22611759140578	146.90227239569458	267.43369903482755	20.289852175803645	224.40082496388456	100.21167648690174	101.32935683732298	0.14555825609583145	0.0	-0.0	0.0	NaN	NaN	8.691799777027724E-8	0.0	-0.0	0.0	NaN	NaN	0.16753448952015418	0.0	-0.0	0.0	293.16719089285664	12.198250427870699	0.304972518400065	0.0	0.0	NaN	NaN	0.043735986905926054	0.0	0.0	NaN	NaN	0.40626596471905213	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
1840.00	PROCESS	98.14402351998245	8.689298800776334E-4	0.9157599520277964	0.9157599520277964	1.5588273293539523	0.9118937553848296	0.9118937553848296	1.5588273293539523	0.8041401222332991	0.8041401222332991	1.919537407097031	0.8041401222332991	0.8041401222332991	1.919537407097031	0.0	0.0	999.9999999999999	293.8967380989975	249.0596121316457	293.1499999999999	0.0	63.24698530063256	77.80908328937106	75.04301598845379	559.6825314986247	168.24156651231473	66.82045247021793	857.5522383846215	434.2837581668161	79.29201348426716	67.22611759140578	146.902275289954	267.4337012344737	30.386273002006448	219.24402455613298	100.0836659095609	100.2006962704491	0.1680440771349887	0.0	0.0	0.0	NaN	NaN	1.0382690209579177E-30	0.0	0.0	0.0	NaN	NaN	0.1680428602376176	0.0	-0.0	0.0	293.17165890900964	12.198250883135685	0.40627885503231775	0.0	0.0	NaN	NaN	0.40627885503231775	0.0	0.0	NaN	NaN	0.40627885503231775	0.0	0.0	NaN	NaN	293.1499640987523	-0.0
