Time	Spindle-BC-1	Spindle-BC-2	Spindle-BC-3	Spindle-BC-4	Spindle-BC-5	Spindle-BC-6	Spindle-BC-7	Spindle-BC-8	Spindle-BC-9	Spindle-BC-10	Spindle-BC-11	Spindle-BC-12	Spindle-BC-13	Spindle-BC-14	Spindle-BC-15	Spindle-BC-16	Spindle-BC-17	Spindle-BC-18	Tank-BC-1	PumpHydraulics-BC-1	PumpHydraulics-BC-2	PumpHydraulics-BC-3	PumpHydraulics-BC-4	PumpCoolant-BC-1	PumpCoolant-BC-2	PumpCoolant-BC-3	PumpCoolant-BC-4	PumpHE-BC-1	PumpHE-BC-2	PumpHE-BC-3	PumpHE-BC-4	CtrlSpindle-BC-1	AmpAxes-BC-1	CtrlAxesLin-BC-1	CtrlAxesRot-BC-1	AxisX-BC-1	AxisX-BC-2	AxisX-BC-3	AxisX-BC-4	AxisX-BC-5	AxisX-BC-6	AxisY-BC-1	AxisY-BC-2	AxisY-BC-3	AxisY-BC-4	AxisY-BC-5	AxisY-BC-6	AxisZ-BC-1	AxisZ-BC-2	AxisZ-BC-3	AxisZ-BC-4	AxisZ-BC-5	AxisZ-BC-6	AxisA-BC-1	AxisA-BC-2	AxisA-BC-3	AxisA-BC-4	AxisA-BC-5	AxisB-BC-1	AxisB-BC-2	AxisB-BC-3	AxisB-BC-4	AxisB-BC-5	AxisC-BC-1	AxisC-BC-2	AxisC-BC-3	AxisC-BC-4	AxisC-BC-5	TankHydraulic-BC-1
8.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499999248279	293.1501795462723	234.10831022026926	736.7060707575226	114.74681019051337	272.1394725182932	151.08001658685785	69.03892829036921	848.9204518960365	19.234857228394727	87.52570205946225	67.22611759140578	341.9051745095346	20.700262657364256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1499999999998	0.011554017176463488	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.1853682198814
9.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1500002545874	293.1502918031929	234.1083102202052	736.7060707575226	114.40475148056575	271.56734935353586	151.07997227027025	69.03892829036921	848.919414198131	20.079140342241796	87.52436548066571	67.22611759140578	344.55980339923724	20.84839301635562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.008667850988048249	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.19126600776207
10.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.15000046245115	293.1504332729685	234.1083102213066	736.7060707575226	114.06982432317268	271.0046779894024	151.07997227027025	69.03892829036921	848.9197744825525	20.84957941897082	87.52351431324587	67.22611759140578	346.24958621503356	20.941998251818173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.0069785498809558704	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.19714694499356
11.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499994402133	293.15060252857836	234.10831021916144	736.7060707575226	113.74188189327239	270.4513467280857	151.07997227027025	69.03892829036921	848.9192429710864	21.56025186392364	87.52295543142083	67.22611759140578	347.3144043942415	21.00106326230989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.0033320222981434097	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.20301141018905
12.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1500004260592	293.150797690694	234.1083102205702	736.7060707575226	113.4207752684847	269.9072355474537	151.07997227027025	69.03892829036921	848.9186475752084	22.22138305653597	87.52253849325618	67.22611759140578	347.9763447094659	21.03809986447542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.006693516573906821	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.2088597413918
13.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.15000050363494	293.15101669724964	234.1083102204165	736.7060707575226	113.10636156935809	269.3722296937503	151.07997227027025	69.03892829036921	848.9186214925944	22.840661611144554	87.52229754353638	67.22611759140578	348.3782918106871	21.061050977553336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1499999999998	0.0036909001852372964	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.2146922462403
14.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1499999582457	293.15125746606174	234.10831022037812	736.7060707575226	112.79850291879464	268.8462183719875	151.08006833769846	69.03892829036921	848.9215351636445	23.424029155243915	87.52210367403966	67.22611759140578	348.6146904845032	21.07499481715769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1500000000001	0.0021823107824469916	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.2205092732718
15.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999990011455	293.15151798923733	234.1083102194176	736.7060707575226	112.49706025469166	268.3290842037326	151.07999275905485	69.03892829036921	848.9203709714133	23.976182488189245	87.52194144913312	67.22611759140578	348.7456408347675	21.083195392862017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1500000000001	0.0019277533899959036	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.2263111550672
16.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1500000343883	293.15179638441094	234.10831022026926	736.7060707575226	112.20189821705637	267.8207116265238	151.07997227027025	69.03892829036921	848.9198388068911	24.5009081857655	87.52183597173763	67.22611759140578	348.8103353220687	21.08775968765891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.14999999999975	0.0024897924083625627	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.2320981939582
17.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.15000004461183	293.1520909191351	234.10831021998428	736.7060707575226	111.91288634714508	267.3209891600754	151.07997227027025	69.03892829036921	848.9193642960541	25.001308252828185	87.52170896674782	67.22611759140578	348.8338727544241	21.090040598127608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1499999999998	0.0010845034618752775	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.23787068877414
18.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1500004218523	293.1524000187688	234.10831021880605	736.7060707575226	111.62989667308403	266.82980545820084	151.07997227027025	69.03892829036921	848.9199762974802	25.47995748759897	87.5215861225073	67.22611759140578	348.83252333438014	21.09090858752868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.15000000000015	0.0030307922704985017	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.2436289692205
19.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.15000154536153	293.1527222645326	234.10831021949767	736.7060707575226	111.35280071096524	266.3470441163529	151.07997227027025	69.03892829036921	848.917875950655	25.939019674127504	87.52148789621143	67.22611759140578	348.8166544200122	21.09092213473154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.15000000000015	0.005307286255597271	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.24937331698857
20.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.15000141718633	293.1530563860408	234.10831022045815	736.7060707575226	111.08147628303979	265.8725956224806	151.0799803142669	69.03892829036921	848.9202066449554	26.38033387198845	87.5214032639908	67.22611759140578	348.79207096758444	21.090436518478246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.15000000000015	0.004044203078688968	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.2551039918264
21.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1500005653944	293.1534012509419	234.1083102207559	736.7060707575226	110.81580515169723	265.4063535502556	151.0800782272921	69.03892829036921	848.9225047270193	26.805475867395142	87.52128392953446	67.22611759140578	348.76402085425093	21.089672597752187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.15000000000015	0.0037703018928671207	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.2608212824684
22.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.15000085218	293.15375585325364	234.10831022034606	736.7060707575226	110.5556685699697	264.94820677643725	151.07997227027025	69.03892829036921	848.9198763814355	27.215807579615266	87.52118886260668	67.22611759140578	348.734661472494	21.08877268578819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.1499999999998	0.003014199316666646	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.2665254847666
23.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.1500012887118	293.1541193014885	234.10831022042615	736.7060707575226	110.30094916861032	264.4980427955041	151.0800122667118	69.03892829036921	848.9210550898675	27.612517944937046	87.52107775885617	67.22611759140578	348.7053911418749	21.08782763419504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.15000000000015	0.0037372497824228173	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.27221687281184
24.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	999.9999999999999	293.14999999693066	293.1544908071417	234.10831021875487	736.7060707575226	110.05153343275362	264.05575223637834	151.080029505723	69.03892829036921	848.921565081541	27.99664871792604	87.52097860467899	67.22611759140578	348.6771083496594	21.086888053431363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	293.15000000000015	0.005208844136795291	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	293.2778957294061
