Time	P_mech	P_ver	P_El	n
13.083575	-0.000000	0.000000	-0.000000	0.100057
13.083575	0.000000	0.000000	0.000000	0.100057
13.168672	0.048281	0.289851	0.338131	0.142787
13.253768	0.062256	0.043323	0.105579	0.589665
13.383057	0.067358	0.027028	0.094387	0.713642
13.539435	0.068337	0.025332	0.093669	0.729557
13.752525	0.068451	0.025160	0.093610	0.731229
14.041665	0.068280	0.025420	0.093700	0.728707
14.297723	0.068196	0.025552	0.093748	0.727438
14.553781	0.068086	0.025730	0.093816	0.725735
14.806657	0.067985	0.025897	0.093882	0.724154
14.991699	0.068409	0.025222	0.093631	0.730624
15.020111	0.247221	0.048168	0.295389	0.836934
15.048523	0.205545	0.040538	0.246084	0.835266
15.140615	0.128023	0.038904	0.166927	0.766940
15.234125	0.102117	0.021933	0.124050	0.823194
15.353743	0.093647	0.025131	0.118778	0.788419
15.504016	0.091783	0.027646	0.119429	0.768514
15.704437	0.091522	0.028066	0.119589	0.765309
15.978146	0.091652	0.027855	0.119507	0.766918
16.302108	0.092909	0.026029	0.118938	0.781154
16.500365	0.091873	0.027506	0.119379	0.769594
16.698623	0.091544	0.028030	0.119574	0.765586
16.961652	0.091629	0.027892	0.119521	0.766638
17.000000	0.091533	0.028048	0.119581	0.765449
