Time	State	Spindle-BC-1	Spindle-BC-2	Spindle-BC-3	Spindle-BC-4	Spindle-BC-5	Spindle-BC-6	Spindle-BC-7	Spindle-BC-8	Spindle-BC-9	Spindle-BC-10	XAxis-BC-1	XAxis-BC-2	XAxis-BC-3	XAxis-BC-4	XAxis-BC-5	XAxis-BC-6	ZAxis-BC-1	ZAxis-BC-2	ZAxis-BC-3	ZAxis-BC-4	ZAxis-BC-5	ZAxis-BC-6	Tailstock-BC-1	Tailstock-BC-2	Tailstock-BC-3	Tailstock-BC-4	Tailstock-BC-5	Tailstock-BC-6	TankCoolant-BC-1	TankCoolant-BC-2	PumpCoolant-BC-1	PumpCoolant-BC-2	PumpCoolant-BC-3	PumpCoolant-BC-4	AmplifierSpindle-BC-1	AmplifierAxes-BC-1	AmplifierTailstock-BC-1	AmplifierRevolver-BC-1	CompressedAir-BC-1	BAxis-BC-1	BAxis-BC-2	Fan2-BC-1	Fan1-BC-1	PumpCF-BC-1	PumpCF-BC-2	PumpCF-BC-3	PumpCF-BC-4	TankCF-BC-1	TankCF-BC-2
   		Spindle.MotorHeatSrcStator	Spindle.MotorHeatSrcRotor	Spindle.Bearing1HeatSrcOuter	Spindle.Bearing1HeatSrcInner	Spindle.Bearing1HTC	Spindle.HeatSrcAirgap	Spindle.HeatSrcCair	Spindle.CoolantHTC	Spindle.CoolantTemperature	Spindle.CoolantHeatFlux	XAxis.MotorHeatSrcStator	XAxis.MotorHeatSrcRotor	XAxis.TransmissionHeatSrc	XAxis.BrakeHeatSrc	XAxis.CoolantTemperature	XAxis.CoolantHTC	ZAxis.MotorHeatSrcStator	ZAxis.MotorHeatSrcRotor	ZAxis.TransmissionHeatSrc	ZAxis.BrakeHeatSrc	ZAxis.CoolantTemperature	ZAxis.CoolantHTC	Tailstock.MotorHeatSrcStator	Tailstock.MotorHeatSrcRotor	Tailstock.TransmissionHeatSrc	Tailstock.BrakeHeatSrc	Tailstock.CoolantTemperature	Tailstock.CoolantHTC	TankCoolant.Temperature	TankCoolant.HeatFluxToAmbient	PumpCoolant.HeatSrcMotor	PumpCoolant.MotorHTC	PumpCoolant.HeatSrcPump	PumpCoolant.PumpHTC	AmplifierSpindle.HeatSource	AmplifierAxes.HeatSource	AmplifierTailstock.HeatSource	AmplifierRevolver.HeatSource	CompressedAir.HeatSrc	BAxis.HeatSrcStator	BAxis.HeatSrcRotor	Fan2.HeatSrc	Fan1.HeatSrc	PumpCF.HeatSrcMotor	PumpCF.MotorHTC	PumpCF.HeatSrcPump	PumpCF.PumpHTC	TankCF.Temperature	TankCF.HeatFluxToAmbient
[s]		[W]	[W]	[W]	[W]	[W/K]	[W]	[W]	[W/K]	[K]	[W]	[W]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[W]	[K]	[W/K]	[K]	[W]	[W]	[W/K]	[W]	[W/K]	[W]	[W]	[W]	[W]	[W]	[W]	[W]	[W]	[W]	[W]	[W/K]	[W]	[W/K]	[K]	[W]
-	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	DIRICHLET	NEUMANN	NEUMANN	ROBIN	NEUMANN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	NEUMANN	ROBIN	DIRICHLET	NEUMANN
8.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.1499999999995	-2.2737367544323206E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.149992141747	0.05147579428376028	0.0	0.22426423237439314	0.0	0.6595518683066487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22426370499773446	0.0	6.785410594679263	293.1499937999622	0.26068445424379144
9.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.1499999999995	-1.7053025658242404E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.1499910940187	0.05147534469672844	0.0	0.224264070104462	0.0	0.6595494715554395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2242634615943298	0.0	6.934294035366915	293.1499929733173	0.26068262919181645
10.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.7053025658242404E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.1499900462993	0.051474895114406186	0.0	0.2242639078348054	0.0	0.659547074830485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22426321819159337	0.0	7.068947696540265	293.1499921466787	0.26068080415681943
11.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.1499889985891	0.05147444553682268	0.0	0.22426374556548556	0.0	0.6595446781317184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2242629747895564	0.0	7.192199100006225	293.14999132004664	0.260678979138819
12.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.14998795088815	0.051473995963973056	0.0	0.22426358329644022	0.0	0.6595422814592111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22426273138818778	0.0	7.306081842894915	293.149990493421	0.2606771541378234
13.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.1499869031963	0.051473546395867056	0.0	0.22426342102768512	0.0	0.6595398848128262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22426248798748746	0.0	7.412111656871595	293.14998966680184	0.26067532915387764
14.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.14998585551353	0.05147309683249006	0.0	0.22426325875926675	0.0	0.6595374881926012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22426224458748675	0.0	7.511451036843875	293.1499888401891	0.2606735041869097
15.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.14998480784	0.05147264727384199	0.0	0.22426309649113854	0.0	0.6595350915986066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2242620011881854	0.0	7.605012850177307	293.1499880135829	0.2606716792370904
16.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.1499837601756	0.05147219771993262	0.0	0.22426293422333154	0.0	0.6595326950308789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.224261757789537	0.0	7.693528067810471	293.14998718698314	0.26066985430427553
17.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.14998271252034	0.05147174817075706	0.0	0.22426277195581465	0.0	0.6595302984893168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22426151439157246	0.0	7.777591969182114	293.14998636039	0.2606680293888068
